一	4e00.a
丁	4e00.d,4e85.e
七	4e5a.a,4e00.m
万	4e00.d,52f9.e
丈	20087.a,4e40.m
三	4e00.d,4e8c.e
上	2e8a.d,4e00.e
下	4e00.d,535c.e
丌	4e05.a,4e3f.k
不	4e06.a,535c.j
与	2ff9.2ffa.31c9.4e00.4e00.a,4e00.k
丏	4e00.d,2ff1.4e00.2ff0.2ffa.200ca.4e28.200cc.e
丐	4e00.d,2ff1.4e00.2ffa.31c9.2e8a.e
丑	30e6.a,5341.n
专	2ff1.2ffb.200d1.4e8c.4e36.d,4e36.e
且	2e9d.d,4e00.e
丕	4e0d.d,4e00.e
世	2ffb.2ffa.200ca.51f5.4e00.a,4e00.m
丗	5c71.a,4e00.m
丘	65a4.d,4e00.e
丙	4e00.d,5185.e
业	2ff1.2ffb.3022.4e37.4e00.d,4e00.e
丛	4ece.d,4e00.e
东	5b.31.3a.5d.4e85.a,2ffb.5b.31.3a.5d.4e85.2ff1.2ffb.200cb.4e00.516b.m
丝	2ff1.2ff0.2ff8.200cb.200cb.2ff8.200cb.200cb.4e00.d,4e00.e
丞	6c36.d,4e00.e
両	5e00.a,51f5.g
丢	2123c.d,53b6.e
两	4e00.d,2ff1.4e00.2ffb.4ece.5182.e
严	4e00.d,2ff1.2ff3.4e00.2ffb.3022.4e37.53825382.e#
並	4e37.d,4e9a.e
丧	2ff1.2ffb.571f.4e37.30020.d,30020.e
丨	4e28.a
个	4eba.d,4e28.e
丫	4e37.d,4e28.e
丬	51ab.b,4e3f.c
中	4e28.a,53e3.m
丰	5341.a,4e8c.m
丱	20088.b,2ff0.4e28200ce.c#
串	4e2d.a,53e3.m
临	3022.b,2ff0.3022.2ff3.20089.4e36.2ba4f.c
丶	4e36.a
丸	4e3f.a,2ffb.4e3f.2ff9.31c8.4e36.m
丹	2ff4.2ffb.2e86.4e00.4e36.a,4e36.f
为	2ff5.2ffd.529b.4e36.4e36.a,4e36.g
主	4ea0.d,571f.e
丼	4e95.a,4e36.f
丽	4e00.d,2ff1.4e00.2ff0.2ff5.5182.4e36.2ff5.5182.4e36.e
举	5174.d,30001.e
丿	4e3f.a
乂	4e3f.a,4e40.m
乃	2010e.a,4e3f.k
久	4e3f.a,30b9.j
乇	4e3f.d,4e03.e
么	4e3f.a,53b6.j
义	4e36.d,4e42.e
之	4e36.d,23.28.31c7.4e40.29.e
乌	4e3f.d,2ff1.4e3f.2ff9.23.28.2d.200cc.31c9.29.4e00.e
乍	20089.d,2ff1.20089.2ff0.4e28.4e8c.e
乎	4e3f.d,2ff1.4e3f.2ffb.4e85.4491.e
乏	4e3f.d,4e4b.e
乐	5b.31.3a.5d.4e85.a,2ffb.5b.31.3a.5d.4e85.2ff1.23.28.4e3f.200ca.29.516b.m
乒	65a4.d,4e06.e
乓	4e18.d,4e36.e
乔	4e3f.d,5930.e
乕	20086.a,2ff8.20086.2ffb.30001.5182.j
